Country Name,Country Code,lat,lng,1971,1976,1981,1986,1991,1996,2001,2006,2011,2016,2021
Nauru,NRU,-0.522778,166.931503,,,,,43.88718033,53.04304886,52.07585144,61.57751083,60.8250885,70.72283936,85.21984863
Netherlands,NLD,52.132633,5.291266,0.618740022,1.491240025,4.247010231,5.475349903,5.138299942,6.384699821,4.85958004,7.901569843,9.998950005,16.55592918,17.65752983
New Caledonia,NCL,-20.904305,165.618042,,,,,,,26.87298965,34.25863,47.06914902,,
New Zealand,NZL,-40.900557,174.885971,,,,,29.50197983,32.62963104,45.61838913,60.08034134,66.41755676,,
Nicaragua,NIC,12.865416,-85.207229,53.51876831,56.0359993,57.98564148,64.02297974,62.43302917,62.68128,61.54763031,,,,
Niger,NER,17.607789,8.081666,,,,,,,96.84947968,102.9471283,99.09300995,101.0667572,99.69271088
Nigeria,NGA,9.081999,8.675277,,,,,34.0402298,41.64128,46.17631912,52.51258,67.24922943,89.61534882,100.0437393
Northern Mariana Islands,MNP,17.33083,145.38469,,76.96235657,78.4813385,80.71446228,82.95751953,85.28031921,88.18937683,92.65010071,94.00897217,94.65484619,93.98716736
Norway,NOR,60.472024,8.468946,,0.836950004,24.76417923,29.64846039,50.22637177,66.44532776,81.21510315,92.64328,99.24752045,102.3472977,112.6933365
Oman,OMN,21.512583,55.923255,,41.8467598,55.85512161,56.92221069,58.56426,60.54268,63.3542,65.75624084,70.36273193,76.80484772,69.88375854
Palau,PLW,7.51498,134.58252,,,,,,,,,60.04634094,37.17118073,
Panama,PAN,8.537981,-80.782127,90.98062897,92.71711731,94.72025299,91.57003784,98.69072723,90.9397583,92.74215698,96.49990845,93.8948822,96.85803986,103.3068695
Papua New Guinea,PNG,-6.314993,143.95555,17.29686928,18.23489952,19.8892498,20.38586044,20.79910088,22.29381943,24.31522942,31.40241051,39.08296967,42.42073822,42.98983002
Philippines,PHL,12.879721,121.774017,,38.70716095,40.52542,41.4342308,56.12857056,,,,,94.89417267,93.60310364
Poland,POL,51.919438,19.145136,,,,,,,70.18488312,86.43643951,71.6761322,69.40081787,70.79884338
Portugal,PRT,39.399872,-8.224454,,,,,,,67.48738098,85.0843277,83.29058838,80.99862671,93.10601807
Qatar,QAT,25.354826,51.183884,31.80872917,48.20745087,60.18809128,70.20342255,66.7263031,68.98161316,72.51223,88.64385986,113.6321411,90.88259125,93.6499176
Romania,ROU,45.943161,24.96676,,,,,,80.84841919,85.82952881,82.8973465,105.9072418,89.04149628,88.54532623
Russian Federation,RUS,61.52401,105.318756,,,,,,,88.26531982,74.9905777,86.11064148,95.93125153,103.9893188
Rwanda,RWA,-1.940278,29.873888,1.569000006,1.735209942,,1.22468996,1.639979959,,,,36.10366058,35.24465942,42.49868011
Samoa,WSM,-13.759029,-172.104629,,,,42.22153,44.2381,47.04212,50.61009,57.72267,69.1136,79.57084,79.83618
San Marino,SMR,43.94236,12.457777,,,,,,,,80.92912292,99.66548157,104.5762405,104.1184006
Sao Tome and Principe,STP,0.18636,6.613081,,,,,,,,52.13373947,51.30630875,49.74509048,50.80799103
Saudi Arabia,SAU,23.885942,45.079162,8.2542696,9.420359612,10.04491043,10.82057953,16.52054977,12.84447956,13.2735796,23.04537964,32.74248886,36.45412,37.09590912
Senegal,SEN,14.497401,-14.452362,,,,,,,,,107.3664474,104.631813,100.1598129
Serbia,SRB,44.016521,21.005859,,,7.662519932,,,31.75823021,45.72026825,57.54642,64.27938843,71.17545319,70.45594025
Seychelles,SYC,-4.679574,55.491977,5.115200043,6.497200012,7.832729816,,,,20.38467979,29.56412,40.35879135,56.73944092,77.6466217
Sierra Leone,SLE,8.460555,-11.779889,17.28447914,35.89439011,32.83623123,,44.14147949,53.93743134,63.34788132,70.94586182,81.02259064,80.70025635,80.75428009
Singapore,SGP,1.352083,103.819836,,,,,,,,,,,88.79551697
Slovak Republic,SVK,48.669026,19.699024,,,,,,,,95.10050964,97.79564667,95.14308929,95.23966217
Slovenia,SVN,46.151241,14.995463,21.68592072,22.33300018,23.16650963,23.49073982,24.32102013,26.15028,28.54261017,34.60203171,40.88830948,43.35916901,43.70959091
Solomon Islands,SLB,5.152149,46.199616,21.68316078,22.33498955,23.17971992,23.50160027,24.33069038,26.15912056,28.54927063,34.60847855,40.89292145,43.36291885,43.71319962
Somalia,SOM,-30.559482,22.937506,44.5419693,48.33068085,51.70750046,51.10832977,54.99905014,56.61278915,58.31164169,64.55632782,68.89029694,70.07859039,70.35572052
Spain,ESP,40.463667,-3.74922,,,,,,,,,92.54730988,108.2479095,107.6311874
Sri Lanka,LKA,7.873054,80.771797,15.93282986,28.97260094,35.90485001,32.23920059,38.16416168,37.31887054,34.70610046,47.18980026,51.81689072,62.66104126,69.75833893
Sudan,SDN,12.862807,30.217636,4.778510094,10.60505962,23.52861977,11.75065994,13.16176987,16.00572968,26.36260033,40.21472931,40.04079056,42.52360153,51.88254929
Suriname,SUR,3.919305,-56.027783,25.0281105,26.37207985,27.15254974,,,,,,78.70332336,79.82861328,85.18842316
Sweden,SWE,60.128161,18.643501,,,,,85.56619263,86.60739899,69.37480927,89.94819641,96.83233643,99.63323975,96.181633
Switzerland,CHE,46.818188,8.227512,,,,,,,,,,,
Syrian Arab Republic,SYR,34.802075,38.996815,50.82387924,51.43383026,55.14633179,60.12593842,61.29687881,65.3266983,69.92256927,74.82128906,77.68563843,80.03414917,79.82713318
Tajikistan,TJK,38.861034,71.276093,,,,,,,,,73.05914307,79.39183044,90.81352234
Tanzania,TZA,-6.369028,34.888822,27.92213058,31.21455956,37.72872925,44.15270996,50.13935089,58.07646942,62.85797119,66.39781952,68.90863037,71.36004639,73.69580841
Thailand,THA,15.870032,100.992541,,,,,,,98.79181671,,,,76.4328537
Timor-Leste,TLS,-8.874217,125.727539,,,,42.22153091,44.23809814,47.04212189,50.61008835,57.72267151,69.11360168,79.57083893,79.83618164
Togo,TGO,8.619543,0.824782,21.68316078,22.33498955,23.17971992,23.50160027,24.33069038,26.15912056,28.54927063,34.60847855,40.89292145,43.36291885,43.71319962
Tonga,TON,-21.178986,-175.198242,37.33021164,37.33021164,37.33021164,77.27732849,81.08808136,69.26846313,74.27129364,76.03501892,80.9373703,,
Trinidad and Tobago,TTO,10.691803,-61.222503,,,19.60059929,31.16023064,45.16801071,51.9425087,58.64168,67.34420776,73.99820709,73.33209991,77.38397217
Tunisia,TUN,33.886917,9.537499,28.01593971,28.21619987,24.23080063,30.70496941,39.33903122,,,90.47634125,96.11074829,87.50611877,88.78900909
Turkiye,TUR,38.963745,35.243322,,,,,,,,,,61.06195068,62.6556015
Turkmenistan,TKM,38.969719,59.556278,,,,,,,6.423989773,9.139439583,40.44018173,30.80283928,33.16817093
